dataset,num_nodes,num_epochs,local_epochs,graph_type,graph_param,batch_size,samples_per_client,algorithm,attack_percentage,attack_type,lambda,final_compromised_accuracy,final_honest_accuracy,filename
celeba,20,10,3,erdos,02,64,10000,ubar,60,gaussian,1,0.8709,0.9172,celeba_20_10_3_erdos_02_64_10000_ubar_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,ubar,70,directed_deviation,1,0.8829,0.916,celeba_20_10_3_erdos_02_64_10000_ubar_70attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,ubar,70,gaussian,1,0.8794,0.916,celeba_20_10_3_erdos_02_64_10000_ubar_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,02,64,10000,ubar,80,directed_deviation,1,0.8226,0.9192,celeba_20_10_3_erdos_02_64_10000_ubar_80attack_1lambda.log
celeba,20,10,3,erdos,02,64,10000,ubar,80,gaussian,1,0.8076,0.9192,celeba_20_10_3_erdos_02_64_10000_ubar_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,0,directed_deviation,1,0.8474,0.8474,celeba_20_10_3_erdos_045_64_10000_balance_0attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,10,directed_deviation,1,0.7101,0.7148,celeba_20_10_3_erdos_045_64_10000_balance_10attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,10,gaussian,1,0.5968,0.6957,celeba_20_10_3_erdos_045_64_10000_balance_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,20,directed_deviation,1,0.5131,0.4929,celeba_20_10_3_erdos_045_64_10000_balance_20attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,20,gaussian,1,0.5355,0.5664,celeba_20_10_3_erdos_045_64_10000_balance_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,30,directed_deviation,1,0.7386,0.6829,celeba_20_10_3_erdos_045_64_10000_balance_30attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,30,gaussian,1,0.5154,0.5169,celeba_20_10_3_erdos_045_64_10000_balance_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,40,directed_deviation,1,0.6892,0.6226,celeba_20_10_3_erdos_045_64_10000_balance_40attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,40,gaussian,1,0.5124,0.519,celeba_20_10_3_erdos_045_64_10000_balance_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,50,directed_deviation,1,0.7701,0.7509,celeba_20_10_3_erdos_045_64_10000_balance_50attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,50,gaussian,1,0.511,0.5205,celeba_20_10_3_erdos_045_64_10000_balance_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,60,directed_deviation,1,0.6277,0.6236,celeba_20_10_3_erdos_045_64_10000_balance_60attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,60,gaussian,1,0.5167,0.5122,celeba_20_10_3_erdos_045_64_10000_balance_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,70,directed_deviation,1,0.5378,0.5396,celeba_20_10_3_erdos_045_64_10000_balance_70attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,70,gaussian,1,0.5337,0.5622,celeba_20_10_3_erdos_045_64_10000_balance_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,80,directed_deviation,1,0.7146,0.6875,celeba_20_10_3_erdos_045_64_10000_balance_80attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,balance,80,gaussian,1,0.5188,0.5347,celeba_20_10_3_erdos_045_64_10000_balance_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,0,directed_deviation,1,0.8477,0.8477,celeba_20_10_3_erdos_045_64_10000_coarse_0attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,10,directed_deviation,1,0.8374,0.7566,celeba_20_10_3_erdos_045_64_10000_coarse_10attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,10,gaussian,1,0.6819,0.7161,celeba_20_10_3_erdos_045_64_10000_coarse_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,20,directed_deviation,1,0.5131,0.5171,celeba_20_10_3_erdos_045_64_10000_coarse_20attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,20,gaussian,1,0.667,0.6918,celeba_20_10_3_erdos_045_64_10000_coarse_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,30,directed_deviation,1,0.8389,0.7896,celeba_20_10_3_erdos_045_64_10000_coarse_30attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,30,gaussian,1,0.5373,0.5303,celeba_20_10_3_erdos_045_64_10000_coarse_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,40,directed_deviation,1,0.5545,0.5489,celeba_20_10_3_erdos_045_64_10000_coarse_40attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,40,gaussian,1,0.6015,0.5558,celeba_20_10_3_erdos_045_64_10000_coarse_40attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,50,directed_deviation,1,0.5209,0.5359,celeba_20_10_3_erdos_045_64_10000_coarse_50attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,50,gaussian,1,0.5572,0.5607,celeba_20_10_3_erdos_045_64_10000_coarse_50attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,60,directed_deviation,1,0.6218,0.5915,celeba_20_10_3_erdos_045_64_10000_coarse_60attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,60,gaussian,1,0.523,0.5409,celeba_20_10_3_erdos_045_64_10000_coarse_60attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,70,directed_deviation,1,0.5172,0.5145,celeba_20_10_3_erdos_045_64_10000_coarse_70attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,70,gaussian,1,0.5207,0.5202,celeba_20_10_3_erdos_045_64_10000_coarse_70attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,80,directed_deviation,1,0.6945,0.6724,celeba_20_10_3_erdos_045_64_10000_coarse_80attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,coarse,80,gaussian,1,0.5283,0.5422,celeba_20_10_3_erdos_045_64_10000_coarse_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,0,directed_deviation,1,0.9232,0.9232,celeba_20_10_3_erdos_045_64_10000_d-fedavg_0attack_1lambda.log
celeba,20,10,3,erdos,045,64,10000,d-fedavg,10,directed_deviation,1,0.5137,0.5886,celeba_20_10_3_erdos_045_64_10000_d-fedavg_10attack_1lambda.log
