dataset,num_nodes,num_epochs,local_epochs,graph_type,graph_param,batch_size,samples_per_client,algorithm,attack_percentage,attack_type,lambda,final_compromised_accuracy,final_honest_accuracy,overall_asr,honest_asr,compromised_asr,filename
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,80,gaussian,1,0.8026,0.9091,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_80attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,sketchguard,80,krum,1,0.8026,0.9091,,,,celeba_20_10_3_erdos_02_64_10000_sketchguard_80attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,10,directed_deviation,1,0.895,0.8891,,,,celeba_20_10_3_erdos_02_64_10000_ubar_10attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,10,backdoor,1,0.5107,0.8891,0.6041,0.5602,1.0,celeba_20_10_3_erdos_02_64_10000_ubar_10attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,10,gaussian,1,0.895,0.8891,,,,celeba_20_10_3_erdos_02_64_10000_ubar_10attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,10,krum,1,0.895,0.8891,,,,celeba_20_10_3_erdos_02_64_10000_ubar_10attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,20,directed_deviation,1,0.8819,0.8864,,,,celeba_20_10_3_erdos_02_64_10000_ubar_20attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,20,backdoor,1,0.5131,0.8891,0.6441,0.5551,1.0,celeba_20_10_3_erdos_02_64_10000_ubar_20attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,20,gaussian,1,0.8841,0.8891,,,,celeba_20_10_3_erdos_02_64_10000_ubar_20attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,20,krum,1,0.8841,0.8891,,,,celeba_20_10_3_erdos_02_64_10000_ubar_20attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,30,directed_deviation,1,0.8812,0.8869,,,,celeba_20_10_3_erdos_02_64_10000_ubar_30attack_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,30,backdoor,1,0.5154,0.8869,0.6986,0.5694,1.0,celeba_20_10_3_erdos_02_64_10000_ubar_30attack_backdoor_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,30,gaussian,1,0.8812,0.8869,,,,celeba_20_10_3_erdos_02_64_10000_ubar_30attack_gaussian_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,30,krum,1,0.8812,0.8869,,,,celeba_20_10_3_erdos_02_64_10000_ubar_30attack_krum_1lambda.log
celeba,20,10,3,erdos,2.0,64,10000,ubar,40,directed_deviation,1,0.8718,0.8968,,,,celeba_20_10_3_erdos_02_64_10000_ubar_40attack_1lambda.log
